CLINICALSIGNIFICANCE_ID,CLINICALSIGNIFICANCE_ACCESSION,CLINICALSIGNIFICANCE_VARIANTID,CLINICALSIGNIFICANCE_PATHOLOGYID,CLINICALSIGNIFICANCE_SIGNIFICANCEID,CLINICALSIGNIFICANCE_EVALUATED,CLINICALSIGNIFICANCE_REVIEWSTATUS,CLINICALSIGNIFICANCE_UPDATED
1,RCV000147824,438,201971,5,2013-10-31,"[criteria provided, single submitter]",2022-09-26
2,RCV000714140,438,207830,5,2021-12-18,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
3,RCV000147824,440,201971,5,2013-10-31,"[criteria provided, single submitter]",2022-09-26
4,RCV000714140,440,207830,5,2021-12-18,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
5,RCV000269648,18785,204779,5,2016-06-14,"[criteria provided, single submitter]",2022-09-26
6,RCV001594976,18785,207830,5,2018-07-05,"[criteria provided, single submitter]",2022-09-26
7,RCV000274674,18795,99219,5,2018-01-13,"[criteria provided, single submitter]",2022-09-26
8,RCV001653654,18795,207830,5,2018-08-21,"[criteria provided, single submitter]",2022-09-26
9,RCV000531417,18815,99219,,2021-12-18,"[criteria provided, conflicting interpretations]",2022-09-26
10,RCV000592300,18815,201971,4,2017-02-03,"[criteria provided, single submitter]",2022-09-26
11,RCV000609047,18927,99219,5,2016-03-28,"[no assertion criteria provided]",2022-09-26
12,RCV001683608,18927,207830,5,2018-08-25,"[criteria provided, single submitter]",2022-09-26
13,RCV001147592,19394,99219,4,2021-09-15,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
14,RCV002225799,19394,207830,4,2018-12-31,"[criteria provided, single submitter]",2022-09-26
15,RCV000175837,19400,201971,5,2015-05-21,"[criteria provided, single submitter]",2022-09-26
16,RCV000616422,19400,99219,5,2021-12-10,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
17,RCV001610488,19400,207830,5,2018-08-17,"[criteria provided, single submitter]",2022-09-26
18,RCV000546312,19996,99219,,2021-12-18,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
19,RCV001672610,19996,207830,5,2018-09-21,"[criteria provided, single submitter]",2022-09-26
20,RCV001725551,20475,207830,5,2018-07-23,"[criteria provided, single submitter]",2022-09-26
21,RCV001789563,20475,15485,5,2021-10-25,"[criteria provided, single submitter]",2022-09-26
22,RCV001725551,20476,207830,5,2018-07-23,"[criteria provided, single submitter]",2022-09-26
23,RCV001789563,20476,15485,5,2021-10-25,"[criteria provided, single submitter]",2022-09-26
24,RCV000115064,20488,207830,5,2020-05-03,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
25,RCV001520882,20488,15485,5,2021-12-10,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
26,RCV000115064,20489,207830,5,2020-05-03,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
27,RCV001520882,20489,15485,5,2021-12-10,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
28,RCV000591438,20985,207830,3,2017-04-05,"[criteria provided, single submitter]",2022-09-26
29,RCV001078876,20985,123337,4,2021-11-04,"[criteria provided, single submitter]",2022-09-26
30,RCV000591438,20987,207830,3,2017-04-05,"[criteria provided, single submitter]",2022-09-26
31,RCV001078876,20987,123337,4,2021-11-04,"[criteria provided, single submitter]",2022-09-26
32,RCV000558824,21004,123337,5,2021-12-16,"[criteria provided, single submitter]",2022-09-26
33,RCV001691972,21004,207830,5,2020-12-01,"[criteria provided, single submitter]",2022-09-26
34,RCV000558824,21008,123337,5,2021-12-16,"[criteria provided, single submitter]",2022-09-26
35,RCV001691972,21008,207830,5,2020-12-01,"[criteria provided, single submitter]",2022-09-26
36,RCV000245236,21019,201971,5,,"[criteria provided, single submitter]",2022-09-26
37,RCV000535000,21019,123337,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
38,RCV001683067,21019,207830,5,2018-10-16,"[criteria provided, single submitter]",2022-09-26
39,RCV000245236,21022,201971,5,,"[criteria provided, single submitter]",2022-09-26
40,RCV000535000,21022,123337,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
41,RCV001683067,21022,207830,5,2018-10-16,"[criteria provided, single submitter]",2022-09-26
42,RCV000829785,21046,207830,5,2018-06-14,"[criteria provided, single submitter]",2022-09-26
43,RCV001517151,21046,15209,5,2021-12-19,"[criteria provided, single submitter]",2022-09-26
44,RCV000116237,21073,201971,5,2017-06-29,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
45,RCV000226786,21073,15209,5,2021-12-18,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
46,RCV000611094,21085,99219,5,2021-12-10,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
47,RCV001672611,21085,207830,5,2018-08-17,"[criteria provided, single submitter]",2022-09-26
48,RCV001520883,21164,15485,5,2021-12-10,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
49,RCV001541404,21164,207830,5,2021-06-09,"[criteria provided, single submitter]",2022-09-26
50,RCV001520883,21165,15485,5,2021-12-10,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
